Disciplina,Local,Tipo,Tempo,Período,Dia,Horário,Turma,Vagas Normais,Vagas Reservadas para Calouros,Vagas para Matrícula Especial,Total Vagas Normais,Total Vagas Reservadas para Calouros,Total Vagas para Matrícula Especial,Docente,
EXM174,apagado,apagado,apagado,apagado,Sexta-Feira,21:00 - 22:40,26A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_6
EXM174,apagado,apagado,apagado,apagado,Terça-Feira,15:00 - 16:40,9A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_6
EXM118,apagado,apagado,apagado,apagado,Terça-Feira,09:00 - 10:40,5A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_19
,,,,,,,3A,apagado,apagado,apagado,,,,
EXM118,apagado,apagado,apagado,apagado,Sexta-Feira,09:00 - 10:40,5A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_19
,,,,,,,3A,apagado,apagado,apagado,,,,
EXM118,apagado,apagado,apagado,apagado,Terça-Feira,09:00 - 10:40,19A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_7
,,,,,,,22A,apagado,apagado,apagado,,,,
EXM118,apagado,apagado,apagado,apagado,Quinta-Feira,09:00 - 10:40,19A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_7
,,,,,,,22A,apagado,apagado,apagado,,,,
EXM118,apagado,apagado,apagado,apagado,Terça-Feira,10:00 - 11:40,11A,apagado,apagado,apagado,apagado,apagado,apagado,Doc
,,,,,,,30I,apagado,apagado,apagado,,,,
EXM118,apagado,apagado,apagado,apagado,Sexta-Feira,13:00 - 14:40,11A,apagado,apagado,apagado,apagado,apagado,apagado,
,,,,,,,30I,apagado,apagado,apagado,,,,
EXM118,apagado,apagado,apagado,apagado,Terça-Feira,07:00 - 08:40,30A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_7
,,,,,,,30C,apagado,apagado,apagado,,,,
EXM118,apagado,apagado,apagado,apagado,Sexta-Feira,07:00 - 08:40,30A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_7
,,,,,,,30C,apagado,apagado,apagado,,,,
EXM118,apagado,apagado,apagado,apagado,Sexta-Feira,07:00 - 08:40,13A,apagado,apagado,apagado,apagado,apagado,apagado,Doc
,,,,,,,21A,apagado,apagado,apagado,,,,
,,,,,,,10A,apagado,apagado,apagado,,,,
EXM118,apagado,apagado,apagado,apagado,Quinta-Feira,09:00 - 10:40,13A,apagado,apagado,apagado,apagado,apagado,apagado,
,,,,,,,21A,apagado,apagado,apagado,,,,
,,,,,,,10A,apagado,apagado,apagado,,,,
EXM118,apagado,apagado,apagado,apagado,Terça-Feira,07:00 - 08:40,30E,apagado,apagado,apagado,apagado,apagado,apagado,Docente_19
,,,,,,,30G,apagado,apagado,apagado,,,,
EXM118,apagado,apagado,apagado,apagado,Sexta-Feira,07:00 - 08:40,30E,apagado,apagado,apagado,apagado,apagado,apagado,Docente_19
,,,,,,,30G,apagado,apagado,apagado,,,,
EXM191,apagado,apagado,apagado,apagado,Quarta-Feira,19:00 - 20:40,24A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_2
,,,,,,,15A,apagado,apagado,apagado,,,,
,,,,,,,18A,apagado,apagado,apagado,,,,
EXM191,apagado,apagado,apagado,apagado,Sexta-Feira,21:00 - 22:40,24A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_2
,,,,,,,15A,apagado,apagado,apagado,,,,
,,,,,,,18A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Segunda-Feira,10:00 - 11:40,3A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_0
,,,,,,,5A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Quarta-Feira,10:00 - 11:40,3A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_0
,,,,,,,5A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Quinta-Feira,10:00 - 11:40,3A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_0
,,,,,,,5A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Sábado,08:00 - 09:40,B,apagado,apagado,apagado,apagado,apagado,apagado,Doc
,,,,,,,A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Segunda-Feira,19:00 - 20:40,14A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_21
,,,,,,,15A,apagado,apagado,apagado,,,,
,,,,,,,18A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Quarta-Feira,19:00 - 20:40,14A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_21
,,,,,,,15A,apagado,apagado,apagado,,,,
,,,,,,,18A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Quinta-Feira,19:00 - 20:40,14A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_21
,,,,,,,15A,apagado,apagado,apagado,,,,
,,,,,,,18A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Segunda-Feira,08:00 - 09:40,30G,apagado,apagado,apagado,apagado,apagado,apagado,Docente_0
,,,,,,,30E,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Quarta-Feira,08:00 - 09:40,30G,apagado,apagado,apagado,apagado,apagado,apagado,Docente_0
,,,,,,,30E,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Quinta-Feira,08:00 - 09:40,30G,apagado,apagado,apagado,apagado,apagado,apagado,Docente_0
,,,,,,,30E,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Segunda-Feira,16:00 - 17:40,22A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_14
,,,,,,,10A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Quarta-Feira,16:00 - 17:40,22A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_14
,,,,,,,10A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Quinta-Feira,16:00 - 17:40,22A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_14
,,,,,,,10A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Segunda-Feira,08:00 - 09:40,30A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_12
,,,,,,,30C,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Quarta-Feira,08:00 - 09:40,30A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_12
,,,,,,,30C,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Quinta-Feira,08:00 - 09:40,30A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_12
,,,,,,,30C,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Segunda-Feira,14:00 - 15:40,19A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_3
EXM102,apagado,apagado,apagado,apagado,Quarta-Feira,14:00 - 15:40,19A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_3
EXM102,apagado,apagado,apagado,apagado,Quinta-Feira,14:00 - 15:40,19A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_3
EXM102,apagado,apagado,apagado,apagado,Segunda-Feira,16:00 - 17:40,11A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_3
,,,,,,,13A,apagado,apagado,apagado,,,,
,,,,,,,21A,apagado,apagado,apagado,,,,
EXM102,apagado,apagado,apagado,apagado,Quarta-Feira,16:00 - 17:40,11A,apagado,apagado,apagado,apagado,apagado,apagado,Docente_3
,,,,,,,13A,apagado,apagado,apagado,,,,
,,,,,,,21A,apagado,apagado,apagado,,,,
